,Title,Price,Year,Distance passed,Fuel Type,Engine Volume,Type,Power,Gear Box
1,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Mitsubishi Outlander 2.0D 4X4 SVAJCARSKA,5.950 €,2007. | ,153.000 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
4,Mitsubishi Outlander 2.0 16V metan,2.400 €,2004. | ,232.000 km | ,Metan CNG | ,"1987 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
5,Mitsubishi Lancer 2.0 D,6.600 €,2010. | ,200.000 km | ,Dizel | ,"1968 cm3, ","Hečbek, ","103kW (140KS), ","Manuelni 6 brzina, "
6,Mitsubishi Colt 1.5 DISEL SVAJCARSKA,1.999 €,2007. | ,163.967 km | ,Dizel | ,"1493 cm3, ","Limuzina, ","70kW (95KS), ","Manuelni 5 brzina, "
7,Mitsubishi Eclipse 1.5 Intense 4WD CVT,N/A,2019. | ,0 km | ,Benzin | ,"1499 cm3, ","Džip/SUV, ","120kW (163KS), ","Automatski menjač, "
8,Mitsubishi Outlander 2.0 b,2.999 €,2004. | ,158.123 km | ,Benzin | ,"1996 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 6 brzina, "
9,Mitsubishi Outlander 2.0 tdi,6.999 €,2007. | ,215.586 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
10,Mitsubishi Colt 1.5 DID,2.250 €,2004. | ,165.000 km | ,Dizel | ,"1493 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
11,Mitsubishi Outlander RATA 75e/4X4/7SED,7.199 €,2007. | ,167.382 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
12,Mitsubishi Eclipse 1.5 Intense 4WD CVT,27.740 €,2019. | ,0 km | ,Benzin | ,"1499 cm3, ","Džip/SUV, ","120kW (163KS), ","Automatski menjač, "
13,Mitsubishi Outlander 2.0TDI E X T R A,6.499 €,2008. | ,187.357 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
14,Mitsubishi Space Star ,500 €,2001. | ,200.000 km | ,Benzin | ,"1300 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
15,Mitsubishi Outlander 2.0 DiD,8.999 €,2010. | ,212.404 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
16,Mitsubishi Pajero 2.5 TD,1.100 €,1991. | ,232.000 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","70kW (95KS), ","Manuelni 5 brzina, "
17,Mitsubishi ASX 4x4 Švajcarska,8.490 €,2011. | ,183.000 km | ,Dizel | ,"1790 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
18,Mitsubishi Pajero Pinin 1.8 GDI,3.250 €,2001. | ,196.000 km | ,Benzin | ,"1800 cm3, ","Džip/SUV, ","1kW (1KS), ","Manuelni 5 brzina, "
19,Mitsubishi L200 ,9.999 €,2007. | ,225.868 km | ,Dizel | ,"2500 cm3, ","Pickup, ","100kW (136KS), ","Manuelni 6 brzina, "
20,Mitsubishi Colt 1.5 CZT,3.200 €,2005. | ,153.215 km | ,Benzin | ,"1468 cm3, ","Hečbek, ","110kW (150KS), ","Manuelni 5 brzina, "
21,Mitsubishi ASX ,8.300 €,2011. | ,150.000 km | ,Benzin + Gas (TNG) | ,"1590 cm3, ","Džip/SUV, ","86kW (117KS), ","Manuelni 5 brzina, "
22,Mitsubishi Colt 1.5 D,3.300 €,2005. | ,182.526 km | ,Benzin | ,"1493 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
23,Mitsubishi ASX 1.8 DID,8.490 €,2011. | ,152.465 km | ,Dizel | ,"1798 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
24,Mitsubishi Outlander 2.0Did V l A S N I K,7.550 €,2007. | ,165.000 km | ,Dizel | ,"2000 cm3, ","Džip/SUV, ","102kW (139KS), ","Manuelni 6 brzina, "
25,Mitsubishi ASX 1.8 Did 4x4 NOV,8.450 €,2011. | ,171.000 km | ,Dizel | ,"1798 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
26,Mitsubishi Space Star ,1.600 €,2001. | ,250.000 km | ,Dizel | ,"1900 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
27,Mitsubishi ASX 1.8 DID 4x4,8.850 €,2011. | ,152.511 km | ,Dizel | ,"1798 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
28,Mitsubishi Outlander 2.2 DID,7.900 €,2009. | ,181.504 km | ,Dizel | ,"2179 cm3, ","Džip/SUV, ","115kW (156KS), ","Manuelni 6 brzina, "
29,Mitsubishi Pajero 3.2 DI-D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,Mitsubishi Grandis 2.0did,2.799 €,2007. | ,250.000 km | ,Dizel | ,"1900 cm3, ","Monovolumen (MiniVan), ","103kW (140KS), ","Manuelni 5 brzina, "
32,Mitsubishi Pajero S P O R T,5.990 €,2005. | ,189.670 km | ,Dizel | ,"2498 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
33,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,12.800 €,2014. | ,180.500 km | ,Dizel | ,"2268 cm3, ","Džip/SUV, ","110kW (150KS), ","Automatski menjač, "
34,Mitsubishi Colt 1.2 B,2.150 €,2005. | ,128.000 km | ,Benzin | ,"1124 cm3, ","Monovolumen (MiniVan), ","55kW (75KS), ","Manuelni 5 brzina, "
35,Mitsubishi Eclipse 1.5 Invite plus CVT,23.790 €,2018. | ,0 km | ,Benzin | ,"1499 cm3, ","Džip/SUV, ","120kW (163KS), ","Automatski menjač, "
36,Mitsubishi Space Star 1.6 i,1.699 €,2002. | ,240.000 km | ,Benzin | ,"1580 cm3, ","Monovolumen (MiniVan), ","72kW (98KS), ","Manuelni 5 brzina, "
37,Mitsubishi Colt 1.3,2.100 €,2004. | ,226.000 km | ,Benzin | ,"1332 cm3, ","Monovolumen (MiniVan), ","70kW (95KS), ","Manuelni 5 brzina, "
38,Mitsubishi Outlander 2.0 16v 4x4,4.999 €,2007. | ,114.185 km | ,Benzin + Gas (TNG) | ,"2000 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
39,Mitsubishi Colt 1.3 sportmotion,2.550 €,2007. | ,173.000 km | ,Benzin | ,"1298 cm3, ","Limuzina, ","70kW (95KS), ","Manuelni 5 brzina, "
40,Mitsubishi Eclipse ,4.200 €,2003. | ,104.070 km | ,Benzin | ,"2398 cm3, ","Kupe, ","104kW (141KS), ","Automatski menjač, "
41,Mitsubishi Outlander ,6.800 €,2007. | ,236.719 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
42,Mitsubishi Colt 1.5 did,2.799 €,2007. | ,160.000 km | ,Dizel | ,"1499 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
43,Mitsubishi Colt ,2.300 €,2004. | ,200.000 km | ,Benzin | ,"1300 cm3, ","Monovolumen (MiniVan), ","70kW (95KS), ","Manuelni 5 brzina, "
44,Mitsubishi Lancer ,8.000 €,2008. | ,294.000 km | ,Dizel | ,"1968 cm3, ","Limuzina, ","111kW (151KS), ","Manuelni 6 brzina, "
45,Mitsubishi Colt 1.6 GLI,1.650 €,2002. | ,160.000 km | ,Benzin | ,"1599 cm3, ","Hečbek, ","80kW (109KS), ","Manuelni 5 brzina, "
46,Mitsubishi Pajero Pinin 2.0GDI 4x4,3.500 €,2001. | ,166.210 km | ,Benzin | ,"1998 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
47,Mitsubishi Lancer 1.8,9.000 €,2009. | ,117.000 km | ,Benzin | ,"1798 cm3, ","Limuzina, ","105kW (143KS), ","Manuelni 5 brzina, "
48,Mitsubishi Outlander ,15.690 €,2014. | ,179.000 km | ,Hibridni pogon | ,"1998 cm3, ","Džip/SUV, ","89kW (121KS), ","Automatski menjač, "
49,Mitsubishi Grandis 2.0 DI-D INSTYLE,4.700 €,2006. | ,196.274 km | ,Dizel | ,"1968 cm3, ","Monovolumen (MiniVan), ","100kW (136KS), ","Manuelni 6 brzina, "
50,Mitsubishi ASX ,8.800 €,2010. | ,143.500 km | ,Dizel | ,"1800 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
51,Mitsubishi Pajero 28td,1.900 €,1991. | ,220.000 km | ,Dizel | ,"2800 cm3, ","Džip/SUV, ","86kW (117KS), ","Manuelni 4 brzine, "
52,Mitsubishi Carisma ,950 €,1999. | ,237.800 km | ,Benzin | ,"1500 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
53,Mitsubishi Space Star ,1.600 €,2002. | ,219.471 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
54,Mitsubishi Galant ,1.100 €,1993. | ,278.300 km | ,Dizel | ,"1998 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
55,Mitsubishi L200 2.4 DC INSTYLE AT,21.900 €,2015. | ,88.000 km | ,Dizel | ,"2442 cm3, ","Džip/SUV, ","133kW (181KS), ","Automatski menjač, "
56,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Mitsubishi Pajero 3.2 DI-D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,Mitsubishi Lancer 2.0TDI,7.333 €,2010. | ,187.450 km | ,Dizel | ,"1989 cm3, ","Hečbek, ","103kW (140KS), ","Manuelni 6 brzina, "
59,Mitsubishi Space Star ,1.400 €,2002. | ,540.000 km | ,Metan CNG | ,"1560 cm3, ","Monovolumen (MiniVan), ","72kW (98KS), ","Manuelni 5 brzina, "
60,Mitsubishi Carisma 1.6 16v,1.000 €,2000. | ,235.000 km | ,Benzin | ,"1596 cm3, ","Limuzina, ","74kW (101KS), ","Manuelni 5 brzina, "
61,"Mitsubishi Space Star 1,8 16V",1.300 €,2001. | ,169.000 km | ,Benzin | ,"1800 cm3, ","Monovolumen (MiniVan), ","90kW (122KS), ","Manuelni 5 brzina, "
62,Mitsubishi Pajero 3.2 Did,11.000 €,2008. | ,200.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","147kW (200KS), ","Automatski menjač, "
63,Mitsubishi Carisma ,1.350 €,1997. | ,212.000 km | ,Benzin | ,"1597 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
64,Mitsubishi Lancer 1.6 invite,8.100 €,2011. | ,157.000 km | ,Benzin | ,"1598 cm3, ","Limuzina, ","87kW (118KS), ","Manuelni 5 brzina, "
65,Mitsubishi Colt 1.1 INSPORT,3.550 €,2008. | ,122.000 km | ,Benzin + Gas (TNG) | ,"1124 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
66,Mitsubishi Space Star 1.9 did,1.300 €,2001. | ,251.238 km | ,Dizel | ,"1870 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
67,Mitsubishi Lancer ,7.000 €,2012. | ,141.000 km | ,Benzin | ,"1600 cm3, ","Limuzina, ","86kW (117KS), ","Manuelni 5 brzina, "
68,"Mitsubishi Lancer 1,5 /REG DUGO",599 €,1992. | ,203.000 km | ,Benzin | ,"1500 cm3, ","Limuzina, ","46kW (63KS), ","Manuelni 5 brzina, "
69,Mitsubishi Pajero 2.5 TDI,5.500 €,2003. | ,248.000 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
70,Mitsubishi Pajero 3.2 DID Manuelni,5.800 €,2000. | ,300.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","120kW (163KS), ","Manuelni 5 brzina, "
71,Mitsubishi Colt no.vo...no.voo,2.499 €,2008. | ,90.000 km | ,Benzin | ,"1125 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
72,Mitsubishi Pajero did,Po dogovoru,2001. | ,217.000 km | ,Dizel | ,"3197 cm3, ","Džip/SUV, ","124kW (169KS), ","Automatski menjač, "
73,Mitsubishi Space Star 1.3,1.200 €,2001. | ,355.000 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
74,Mitsubishi Outlander ,17.000 €,2014. | ,150.000 km | ,Dizel | ,"2200 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 5 brzina, "
75,Mitsubishi Carisma 1.9 DI-D,1.900 €,2002. | ,222.000 km | ,Dizel | ,"1870 cm3, ","Hečbek, ","75kW (102KS), ","Manuelni 5 brzina, "
76,Mitsubishi Pajero 3.0 V6,1.350 €,1997. | ,440.000 km | ,Benzin | ,"2976 cm3, ","Džip/SUV, ","133kW (181KS), ","Manuelni 5 brzina, "
77,Mitsubishi L200 ,3.600 €,2003. | ,184.645 km | ,Dizel | ,"2477 cm3, ","Pickup, ","66kW (90KS), ","Manuelni 5 brzina, "
78,Mitsubishi Pajero ,6.500 €,2006. | ,238.558 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","125kW (170KS), ","Automatski menjač, "
79,Mitsubishi Colt ,3.299 €,2013. | ,76.000 km | ,Benzin | ,"1124 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
80,Mitsubishi Colt 1.1,2.000 €,2005. | ,220.000 km | ,Benzin | ,"1150 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
81,Mitsubishi Outlander ,3.500 €,2003. | ,230.000 km | ,Benzin | ,"1999 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
82,Mitsubishi Colt ,2.200 €,2004. | ,198.000 km | ,Benzin | ,"1124 cm3, ","Monovolumen (MiniVan), ","55kW (75KS), ","Manuelni 5 brzina, "
83,Mitsubishi Pajero 3.2 DI-D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,Mitsubishi Outlander 2.0 DID,7.000 €,2007. | ,270.000 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
86,"Mitsubishi Outlander 4x4,7sed,multimedija",7.100 €,2007. | ,245.000 km | ,Dizel | ,"1969 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
87,Mitsubishi Space Star DID,2.000 €,2002. | ,140.000 km | ,Dizel | ,"1870 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
88,Mitsubishi Outlander ,18.000 €,2015. | ,27.500 km | ,Dizel | ,"2200 cm3, ","Džip/SUV, ","110kW (150KS), ","Automatski menjač, "
89,Mitsubishi Pajero D-ID,4.000 €,2001. | ,189.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","119kW (162KS), ","Automatski menjač, "
90,Mitsubishi Carisma 1.6 I,1.250 €,2000. | ,138.000 km | ,Benzin | ,"1600 cm3, ","Hečbek, ","70kW (95KS), ","Automatski menjač, "
91,Mitsubishi Pajero SPORT,6.800 €,2005. | ,285.000 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
92,Mitsubishi Space Star ,1.750 €,2001. | ,145.000 km | ,Benzin | ,"1300 cm3, ","Limuzina, ","53kW (72KS), ","Manuelni 5 brzina, "
93,Mitsubishi Lancer 1.8did,5.990 €,2011. | ,192.000 km | ,Dizel | ,"1798 cm3, ","Limuzina, ","85kW (116KS), ","Manuelni 6 brzina, "
94,Mitsubishi Eclipse Spyder 3.0,7.900 €,2004. | ,120.000 km | ,Benzin | ,"3000 cm3, ","Kabriolet/Roadster, ","162kW (220KS), ","Automatski menjač, "
95,Mitsubishi Pajero montero,1.500 €,2003. | ,83.500 km | ,Benzin + Gas (TNG) | ,"2998 cm3, ","Džip/SUV, ","110kW (150KS), ","Automatski menjač, "
96,Mitsubishi Carisma ,1.450 €,2000. | ,300.000 km | ,Dizel | ,"1870 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
97,Mitsubishi Colt ,2.500 €,2004. | ,126.000 km | ,Benzin | ,"1124 cm3, ","Monovolumen (MiniVan), ","55kW (75KS), ","Manuelni 5 brzina, "
98,Mitsubishi Pajero Gls,4.300 €,1996. | ,176.000 km | ,Dizel | ,"2800 cm3, ","Džip/SUV, ","85kW (116KS), ","Automatski menjač, "
99,Mitsubishi Colt 1.3,1.200 €,2003. | ,250.000 km | ,Benzin | ,"1300 cm3, ","Hečbek, ","72kW (98KS), ","Manuelni 5 brzina, "
100,Mitsubishi Colt 1.5DI-D lanac,3.100 €,2009. | ,195.000 km | ,Dizel | ,"1493 cm3, ","Monovolumen (MiniVan), ","70kW (95KS), ","Manuelni 5 brzina, "
101,Mitsubishi Cordia ,250 €,1988. | ,10.000 km | ,Benzin | ,"1600 cm3, ","Hečbek, ","50kW (68KS), ","Manuelni 5 brzina, "
102,Mitsubishi Sigma ,Po dogovoru,1995. | ,1.234.000 km | ,Benzin | ,"2996 cm3, ","Limuzina, ","151kW (205KS), ","Automatski menjač, "
103,Mitsubishi Outlander 2.0 DOHC,3.500 €,2006. | ,214.485 km | ,Benzin + Gas (TNG) | ,"1997 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
104,Mitsubishi ASX 1.6 CH,9.300 €,2011. | ,155.000 km | ,Benzin + Gas (TNG) | ,"1590 cm3, ","Džip/SUV, ","86kW (117KS), ","Manuelni 5 brzina, "
105,Mitsubishi Outlander CH,6.400 €,2007. | ,160.000 km | ,Dizel | ,"1996 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
106,Mitsubishi Outlander 2.4 MIVEC 4WD,3.500 €,2005. | ,200.000 km | ,Benzin + Gas (TNG) | ,"2378 cm3, ","Džip/SUV, ","118kW (160KS), ","Automatski menjač, "
107,Mitsubishi Pajero ,3.000 €,1997. | ,144.000 km | ,Dizel | ,"2800 cm3, ","Džip/SUV, ","74kW (101KS), ","Manuelni 5 brzina, "
108,Mitsubishi Space Star DID,1.299 €,2002. | ,223.000 km | ,Dizel | ,"1900 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
109,Mitsubishi ASX 1.8d,11.850 €,2015. | ,101.000 km | ,Dizel | ,"1790 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 6 brzina, "
110,Mitsubishi Eclipse 1.5 Invite plus CVT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
112,Mitsubishi Carisma DID,1.500 €,2001. | ,245.000 km | ,Dizel | ,"1890 cm3, ","Limuzina, ","75kW (102KS), ","Manuelni 5 brzina, "
113,Mitsubishi Carisma 1.6/gaas/tek reeg,1.690 €,2001. | ,232.000 km | ,Benzin + Gas (TNG) | ,"1598 cm3, ","Hečbek, ","74kW (101KS), ","Manuelni 5 brzina, "
114,Mitsubishi Lancer 1.5 GLX,220 €,1991. | ,330.000 km | ,Benzin + Gas (TNG) | ,"1471 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
115,Mitsubishi Pajero did,2.300 €,2001. | ,264.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","117kW (159KS), ","Automatski menjač, "
116,Mitsubishi Pajero ,3.700 €,1993. | ,186.290 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","73kW (99KS), ","Manuelni 5 brzina, "
117,Mitsubishi Colt Celebration 30,3.250 €,2007. | ,185.000 km | ,Benzin | ,"1300 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
118,Mitsubishi Pajero 4x4,2.750 €,2001. | ,230.000 km | ,Benzin | ,"1968 cm3, ","Džip/SUV, ","60kW (82KS), ","Manuelni 5 brzina, "
119,Mitsubishi Pajero DiD 3.2 R.M,7.990 €,2004. | ,135.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","118kW (160KS), ","Manuelni 5 brzina, "
120,Mitsubishi Montero 3.0 V6,2.700 €,1997. | ,180.000 km | ,Benzin + Gas (TNG) | ,"3000 cm3, ","Džip/SUV, ","133kW (181KS), ","Automatski menjač, "
121,Mitsubishi Outlander 2.0 DID 4x4 kuka,7.200 €,2007. | ,174.000 km | ,Dizel | ,"2000 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
122,Mitsubishi Lancer GLX,400 €,1990. | ,360.000 km | ,Benzin + Gas (TNG) | ,"1468 cm3, ","Limuzina, ","55kW (75KS), ","Manuelni 5 brzina, "
123,Mitsubishi ASX 1.6 b,8.300 €,2012. | ,110.000 km | ,Benzin | ,"1600 cm3, ","Džip/SUV, ","86kW (117KS), ","Manuelni 5 brzina, "
124,Mitsubishi Outlander 1.9 DID,6.300 €,2007. | ,183.528 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 5 brzina, "
125,Mitsubishi Outlander 2.0 D  4 X 4 7 MESTA,5.599 €,2007. | ,226.679 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
126,Mitsubishi Grandis 2.0 D,3.200 €,2006. | ,288.566 km | ,Dizel | ,"1968 cm3, ","Monovolumen (MiniVan), ","100kW (136KS), ","Manuelni 5 brzina, "
127,Mitsubishi Lancer 2.0,1.900 €,2006. | ,172.263 km | ,Benzin | ,"1997 cm3, ","Karavan, ","99kW (135KS), ","Manuelni 6 brzina, "
128,Mitsubishi Colt 1.1 t.n.g nov sport,3.450 €,2008. | ,120.412 km | ,Benzin + Gas (TNG) | ,"1124 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
129,Mitsubishi Lancer 1.5 GLXi,1.200 €,1992. | ,125.000 km | ,Benzin | ,"1468 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
130,Mitsubishi Colt 1.3 CZ3 95 hp,1.950 €,2006. | ,183.500 km | ,Benzin | ,"1350 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
131,Mitsubishi Pajero Pinin 2.0 GDI 4X4,1.990 €,2001. | ,181.450 km | ,Benzin + Gas (TNG) | ,"1995 cm3, ","Džip/SUV, ","94kW (128KS), ","Manuelni 5 brzina, "
132,Mitsubishi Pajero 2.5 SPORT,4.200 €,2002. | ,223.000 km | ,Dizel | ,"2490 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
133,Mitsubishi Montero 3.0,4.200 €,2000. | ,231.520 km | ,Benzin | ,"3000 cm3, ","Džip/SUV, ","130kW (177KS), ","Automatski menjač, "
134,Mitsubishi Carisma 1.6 comfort,1.300 €,2003. | ,300.000 km | ,Benzin + Gas (TNG) | ,"1597 cm3, ","Limuzina, ","76kW (103KS), ","Manuelni 5 brzina, "
135,Mitsubishi Colt 1.5,450 €,1985. | ,230.000 km | ,Benzin + Gas (TNG) | ,"1500 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
136,Mitsubishi Colt 1.1 12V Invite,4.300 €,2010. | ,165.000 km | ,Benzin | ,"1100 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
137,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
138,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
139,Mitsubishi Lancer 2.0 D.I.D.,5.300 €,2007. | ,190.000 km | ,Dizel | ,"1998 cm3, ","Limuzina, ","103kW (140KS), ","Manuelni 6 brzina, "
140,Mitsubishi Carisma GL,1.200 €,1998. | ,330.000 km | ,Benzin + Gas (TNG) | ,"1597 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
141,"Mitsubishi Space Star Clima R,Org,km.",1.299 €,2002. | ,202.564 km | ,Dizel | ,"1870 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
142,Mitsubishi Pajero 3.2 DI-D,7.300 €,2004. | ,210.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","118kW (160KS), ","Automatski menjač, "
143,Mitsubishi Lancer 2.0 DID,5.800 €,2009. | ,220.000 km | ,Dizel | ,"1968 cm3, ","Limuzina, ","103kW (140KS), ","Manuelni 6 brzina, "
144,Mitsubishi Grandis 2.0tdi wv,3.900 €,2007. | ,180.000 km | ,Dizel | ,"1998 cm3, ","Monovolumen (MiniVan), ","102kW (139KS), ","Manuelni 6 brzina, "
145,Mitsubishi Outlander 2.0 DIZ,7.500 €,2009. | ,158.886 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 5 brzina, "
146,Mitsubishi Space Star DID,1.590 €,2004. | ,212.000 km | ,Dizel | ,"1896 cm3, ","Monovolumen (MiniVan), ","74kW (101KS), ","Manuelni 5 brzina, "
147,Mitsubishi Pajero montero,3.999 €,2003. | ,170.000 km | ,Benzin + Gas (TNG) | ,"3490 cm3, ","Džip/SUV, ","147kW (200KS), ","Automatski menjač, "
148,Mitsubishi Carisma 1.9 DID,1.890 €,2004. | ,230.000 km | ,Dizel | ,"1870 cm3, ","Hečbek, ","75kW (102KS), ","Manuelni 5 brzina, "
