,Title,Price,Year,Distance passed,Fuel Type,Engine Volume,Type,Power,Gear Box
296,Mitsubishi Lancer CH- KAO.NOV,5.600 €,2008. | ,153.000 km | ,Dizel | ,"1990 cm3, ","Hečbek, ","103kW (140KS), ","Manuelni 6 brzina, "
297,Mitsubishi Colt ,950 €,1998. | ,282.174 km | ,Benzin | ,"1300 cm3, ","Hečbek, ","58kW (79KS), ","Manuelni 5 brzina, "
298,Mitsubishi Pajero 4x4,4.000 €,2003. | ,185.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
299,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
300,Mitsubishi Eclipse 1.5 Invite plus CVT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,Mitsubishi Galant ES,1.400 €,2001. | ,250.000 km | ,Benzin + Gas (TNG) | ,"1997 cm3, ","Limuzina, ","80kW (109KS), ","Manuelni 5 brzina, "
302,Mitsubishi Carisma 1.6,1.000 €,1997. | ,255.000 km | ,Benzin | ,"1597 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
303,Mitsubishi Outlander 4x4,12.999 €,2014. | ,280.000 km | ,Dizel | ,"2200 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
304,Mitsubishi Pajero sport gls,4.700 €,2003. | ,213.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
305,Mitsubishi Pajero ,3.999 €,2000. | ,387.056 km | ,Dizel | ,"2835 cm3, ","Džip/SUV, ","124kW (169KS), ","Manuelni 5 brzina, "
306,Mitsubishi Space Star 1.9DID,1.150 €,2001. | ,280.000 km | ,Dizel | ,"1870 cm3, ","Limuzina, ","75kW (102KS), ","Manuelni 5 brzina, "
307,Mitsubishi Lancer ,500 €,1991. | ,240.000 km | ,Benzin | ,"1468 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
308,Mitsubishi Space Star 1.3,1.250 €,2001. | ,200.000 km | ,Benzin | ,"1300 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
309,Mitsubishi Colt 1.5 CZC CABRIO,3.900 €,2008. | ,103.184 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
310,Mitsubishi Lancer 1.8 DiD,7.700 €,2012. | ,159.000 km | ,Dizel | ,"1798 cm3, ","Hečbek, ","110kW (150KS), ","Manuelni 6 brzina, "
311,Mitsubishi Colt 1.3 GOOL,4.900 €,2012. | ,83.000 km | ,Benzin | ,"1332 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
312,Mitsubishi Colt 1.3,1.599 €,2002. | ,170.000 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Hečbek, ","60kW (82KS), ","Manuelni 5 brzina, "
313,Mitsubishi Space Star 1.9 DI-D FAMILY,1.490 €,2002. | ,250.000 km | ,Dizel | ,"1870 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
314,Mitsubishi Outlander 2.0 INTENSE CVT 4WD,14.500 €,2014. | ,121.274 km | ,Benzin | ,"1998 cm3, ","Džip/SUV, ","110kW (150KS), ","Automatski menjač, "
315,Mitsubishi Pajero teretno reg jeftina,4.900 €,2001. | ,220.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","121kW (165KS), ","Automatski menjač, "
316,Mitsubishi Pajero Pinin 1.8 GDI,2.500 €,2001. | ,206.000 km | ,Benzin | ,"1834 cm3, ","Džip/SUV, ","88kW (120KS), ","Manuelni 5 brzina, "
317,Mitsubishi Space Star 1.3,750 €,2002. | ,270.000 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Hečbek, ","62kW (84KS), ","Manuelni 5 brzina, "
318,Mitsubishi Carisma ,450 €,1999. | ,190.000 km | ,Benzin | ,"1598 cm3, ","Hečbek, ","74kW (101KS), ","Manuelni 5 brzina, "
319,Mitsubishi Outlander 2.0 tdi,5.900 €,2008. | ,185.000 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
320,Mitsubishi Outlander ,12.900 €,2013. | ,92.000 km | ,Dizel | ,"2268 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
321,Mitsubishi Pajero Pinin 1.8,3.200 €,2002. | ,139.000 km | ,Benzin | ,"1830 cm3, ","Džip/SUV, ","84kW (114KS), ","Manuelni 5 brzina, "
322,Mitsubishi Space Star S.W.I.S.S.   N.O.V.,4.750 €,2013. | ,82.090 km | ,Benzin | ,"999 cm3, ","Hečbek, ","52kW (71KS), ","Manuelni 5 brzina, "
323,Mitsubishi Carisma ,1.450 €,2001. | ,270.000 km | ,Dizel | ,"1900 cm3, ","Hečbek, ","85kW (116KS), ","Manuelni 5 brzina, "
324,Mitsubishi Space Star ,1.400 €,2001. | ,230.000 km | ,Dizel | ,"1900 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
325,Mitsubishi Colt ,500 €,1993. | ,301.364 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
326,Mitsubishi Pajero 3.2 DI-D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
327,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
328,Mitsubishi Outlander 2.0 did,7.499 €,2007. | ,176.000 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
329,Mitsubishi Pajero DID,7.000 €,2004. | ,163.500 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","118kW (160KS), ","Automatski menjač, "
330,Mitsubishi Colt ,2.500 €,2004. | ,195.000 km | ,Dizel | ,"1500 cm3, ","Monovolumen (MiniVan), ","70kW (95KS), ","Manuelni 5 brzina, "
331,Mitsubishi Pajero Pinin 2.0Gdi,3.650 €,2002. | ,178.000 km | ,Benzin | ,"1998 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
332,Mitsubishi Carisma ,1.600 €,2003. | ,230.000 km | ,Dizel | ,"1896 cm3, ","Limuzina, ","74kW (101KS), ","Manuelni 5 brzina, "
333,Mitsubishi Space Star ,1.550 €,2001. | ,232.000 km | ,Dizel | ,"1870 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
334,Mitsubishi Carisma ,1.150 €,2001. | ,312.000 km | ,Benzin | ,"1800 cm3, ","Limuzina, ","90kW (122KS), ","Manuelni 5 brzina, "
335,"Mitsubishi Space Star 1,6",2.200 €,2002. | ,95.000 km | ,Benzin | ,"1599 cm3, ","Monovolumen (MiniVan), ","72kW (98KS), ","Manuelni 5 brzina, "
336,Mitsubishi Lancer 1.5,700 €,1991. | ,12.345 km | ,Benzin + Gas (TNG) | ,"123 cm3, ","Limuzina, ","1kW (1KS), ","Manuelni 5 brzina, "
337,Mitsubishi Colt 1.5 did,2.200 €,2005. | ,223.000 km | ,Dizel | ,"1490 cm3, ","Hečbek, ","60kW (82KS), ","Manuelni 5 brzina, "
338,Mitsubishi Pajero ,5.500 €,1994. | ,215.000 km | ,Dizel | ,"2800 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
339,Mitsubishi Carisma 1.9 d,1.750 €,2001. | ,230.000 km | ,Dizel | ,"1870 cm3, ","Limuzina, ","75kW (102KS), ","Manuelni 5 brzina, "
340,"Mitsubishi Pajero Pinin 2,0 GDI",3.600 €,2000. | ,218.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
341,Mitsubishi Pajero Pinin ego h60w,3.500 €,2001. | ,150.000 km | ,Benzin + Gas (TNG) | ,"1999 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
342,Mitsubishi Outlander 2.0 TDI,6.500 €,2008. | ,246.400 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
343,Mitsubishi Pajero ,3.500 €,2003. | ,295.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","118kW (160KS), ","Automatski menjač, "
344,Mitsubishi Carisma 1.6 Mivec,900 €,1997. | ,300.000 km | ,Benzin + Gas (TNG) | ,"1600 cm3, ","Hečbek, ","66kW (90KS), ","Manuelni 5 brzina, "
345,Mitsubishi Outlander 2.0 tdi,6.499 €,2008. | ,241.739 km | ,Dizel | ,"2000 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
346,Mitsubishi Carisma 1.9DID,1.600 €,2001. | ,236.000 km | ,Dizel | ,"1989 cm3, ","Limuzina, ","75kW (102KS), ","Manuelni 5 brzina, "
347,Mitsubishi Space Star ,1.700 €,2004. | ,236.000 km | ,Dizel | ,"1870 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
348,Mitsubishi Outlander ,3.200 €,2004. | ,186.000 km | ,Benzin + Gas (TNG) | ,"1996 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
349,Mitsubishi Pajero Pinin ,3.990 €,2003. | ,155.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
350,Mitsubishi Lancer ,820 €,1991. | ,194.000 km | ,Benzin + Gas (TNG) | ,"1500 cm3, ","Hečbek, ","66kW (90KS), ","Manuelni 5 brzina, "
351,Mitsubishi Colt ,600 €,1997. | ,171.273 km | ,Benzin | ,"1299 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
352,Mitsubishi Galant 1.8,1.000 €,1996. | ,333.200 km | ,Benzin | ,"1796 cm3, ","Limuzina, ","85kW (116KS), ","Manuelni 5 brzina, "
353,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,Mitsubishi Eclipse 1.5 Invite plus CVT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
355,Mitsubishi Outlander 2.0 intense 4WD,15.000 €,2015. | ,111.000 km | ,Benzin | ,"1998 cm3, ","Džip/SUV, ","110kW (150KS), ","Automatski menjač, "
356,Mitsubishi Colt ,3.500 €,2007. | ,196.000 km | ,Benzin | ,"1332 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
357,Mitsubishi Pajero Pinin ,3.500 €,2004. | ,212.000 km | ,Benzin + Gas (TNG) | ,"1800 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
358,Mitsubishi Colt ,2.490 €,2006. | ,169.297 km | ,Dizel | ,"1493 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
359,Mitsubishi L200 ,6.000 €,2002. | ,210.000 km | ,Dizel | ,"2477 cm3, ","Pickup, ","85kW (116KS), ","Automatski menjač, "
360,Mitsubishi Pajero Pinin ,3.900 €,2001. | ,196.000 km | ,Benzin | ,"1999 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
361,Mitsubishi Space Gear 2.0,1.000 €,1997. | ,150.000 km | ,Benzin | ,"1997 cm3, ","Hečbek, ","83kW (113KS), ","Manuelni 5 brzina, "
362,Mitsubishi Pajero ,2.700 €,2001. | ,165.000 km | ,Benzin | ,"3497 cm3, ","Džip/SUV, ","150kW (204KS), ","Automatski menjač, "
363,Mitsubishi Space Star ,1.900 €,2004. | ,112.079 km | ,Benzin | ,"1834 cm3, ","Monovolumen (MiniVan), ","82kW (111KS), ","Manuelni 5 brzina, "
364,Mitsubishi Pajero 2.5 TD,900 €,1987. | ,240.000 km | ,Dizel | ,"2498 cm3, ","Džip/SUV, ","74kW (101KS), ","Manuelni 5 brzina, "
365,Mitsubishi Space Star 1.3,2.200 €,2004. | ,211.500 km | ,Benzin + Gas (TNG) | ,"1299 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
366,Mitsubishi Pajero ,3.200 €,1992. | ,256.800 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","80kW (109KS), ","Automatski menjač, "
367,Mitsubishi Carisma ,1.500 €,2001. | ,170.000 km | ,Benzin | ,"1836 cm3, ","Hečbek, ","90kW (122KS), ","Manuelni 5 brzina, "
368,Mitsubishi Outlander ,6.500 €,2007. | ,164.000 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
369,Mitsubishi Pajero sport,7.000 €,2006. | ,185.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
370,Mitsubishi Lancer 1.6 MPI,2.900 €,2004. | ,148.000 km | ,Benzin | ,"1584 cm3, ","Limuzina, ","72kW (98KS), ","Manuelni 5 brzina, "
371,Mitsubishi Colt a u t o m a t i k,2.999 €,2008. | ,158.500 km | ,Dizel | ,"1498 cm3, ","Limuzina, ","70kW (95KS), ","Automatski menjač, "
372,Mitsubishi Lancer Evolution VII,18.500 €,2002. | ,80.000 km | ,Benzin | ,"2000 cm3, ","Limuzina, ","206kW (280KS), ","Manuelni 5 brzina, "
373,"Mitsubishi Outlander 2,0 DID",6.500 €,2007. | ,157.000 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
374,Mitsubishi Colt ,Po dogovoru,2003. | ,244.132 km | ,Benzin | ,"1299 cm3, ","Hečbek, ","60kW (82KS), ","Manuelni 5 brzina, "
375,Mitsubishi Space Star ,1.850 €,2001. | ,231.476 km | ,Benzin + Gas (TNG) | ,"1299 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
376,Mitsubishi Space Star 2,1.550 €,2001. | ,220.000 km | ,Dizel | ,"1900 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
377,Mitsubishi Outlander ,Po dogovoru,2005. | ,176.000 km | ,Benzin + Gas (TNG) | ,"1990 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 5 brzina, "
378,Mitsubishi Outlander 2.0 did BKD,6.900 €,2007. | ,179.000 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
379,Mitsubishi Pajero 2.5 DiD,5.400 €,2002. | ,249.970 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
380,Mitsubishi Eclipse 1.5 Invite plus CVT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
381,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
382,Mitsubishi Carisma 1.8GDi,1.200 €,1999. | ,202.154 km | ,Benzin | ,"1834 cm3, ","Limuzina, ","92kW (125KS), ","Manuelni 5 brzina, "
383,Mitsubishi Colt CZC 1.5 Nov,3.499 €,2006. | ,195.000 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
384,Mitsubishi Space Star DID,1.300 €,2002. | ,231.000 km | ,Dizel | ,"1870 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
385,Mitsubishi Grandis 2.0 D,4.500 €,2006. | ,139.810 km | ,Dizel | ,"1968 cm3, ","Monovolumen (MiniVan), ","100kW (136KS), ","Manuelni 6 brzina, "
386,Mitsubishi Outlander sport 2.0,4.000 €,2003. | ,120.000 km | ,Benzin | ,"1997 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
387,Mitsubishi Space Star 1.8 nije GDI,1.900 €,2003. | ,240.000 km | ,Benzin + Gas (TNG) | ,"1834 cm3, ","Karavan, ","82kW (111KS), ","Manuelni 5 brzina, "
388,Mitsubishi Outlander ,6.999 €,2009. | ,149.536 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
389,Mitsubishi Pajero Sport,5.250 €,2002. | ,195.000 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
390,Mitsubishi Outlander Sport 4WD,3.450 €,2003. | ,200.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
391,Mitsubishi Space Star ,1.200 €,2001. | ,200.000 km | ,Benzin | ,"1300 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
392,"Mitsubishi Pajero 2,5",2.400 €,1991. | ,560.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","74kW (101KS), ","Manuelni 5 brzina, "
393,Mitsubishi Colt Fashion,2.450 €,2006. | ,159.000 km | ,Benzin | ,"1330 cm3, ","Monovolumen (MiniVan), ","70kW (95KS), ","Manuelni 5 brzina, "
394,Mitsubishi Colt 1.3,2.600 €,2007. | ,235.000 km | ,Benzin | ,"1333 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
395,Mitsubishi Pajero Sport,4.790 €,2004. | ,223.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
396,"Mitsubishi Carisma 1,8 GDI",1.700 €,2002. | ,252.000 km | ,Benzin | ,"1834 cm3, ","Hečbek, ","92kW (125KS), ","Manuelni 6 brzina, "
397,Mitsubishi Outlander 2.0,7.000 €,2008. | ,269.312 km | ,Dizel | ,"2000 cm3, ","Džip/SUV, ","102kW (139KS), ","Manuelni 6 brzina, "
398,Mitsubishi Carisma 1.9 DID Comfort,1.950 €,2003. | ,345.000 km | ,Dizel | ,"1870 cm3, ","Hečbek, ","75kW (102KS), ","Manuelni 5 brzina, "
399,Mitsubishi Lancer ,800 €,1992. | ,243.423 km | ,Benzin + Gas (TNG) | ,"1500 cm3, ","Limuzina, ","57kW (77KS), ","Manuelni 5 brzina, "
400,Mitsubishi Pajero Pinin 2.0 GDI,3.300 €,2002. | ,186.900 km | ,Benzin | ,"1999 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
401,Mitsubishi Outlander 2.0 TDI,7.200 €,2007. | ,186.000 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
402,Mitsubishi Pajero 3.2 did,17.000 €,2009. | ,135.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","125kW (170KS), ","Automatski menjač, "
403,Mitsubishi Outlander 2.0 D-DI,5.590 €,2007. | ,218.500 km | ,Dizel | ,"1986 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
404,Mitsubishi Pajero ,1.800 €,1989. | ,200.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","75kW (102KS), ","Manuelni 5 brzina, "
405,Mitsubishi Carisma 1.8,900 €,2001. | ,172.000 km | ,Benzin | ,"1785 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
406,Mitsubishi Pajero Pinin 2.0,3.400 €,2002. | ,222.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","96kW (131KS), ","Manuelni 5 brzina, "
407,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
408,Mitsubishi Pajero 3.2 DI-D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
409,Mitsubishi Space Star ,1.800 €,2002. | ,250.000 km | ,Dizel | ,"1900 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
410,Mitsubishi Colt TURBO CABRIO SVVIS,2.750 €,2006. | ,248.000 km | ,Benzin | ,"1468 cm3, ","Kabriolet/Roadster, ","110kW (150KS), ","Manuelni 5 brzina, "
411,Mitsubishi Pajero ,3.000 €,1998. | ,317.384 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","72kW (98KS), ","Manuelni 5 brzina, "
412,Mitsubishi Outlander sport 4wd,3.400 €,2004. | ,190.000 km | ,Benzin + Gas (TNG) | ,"1997 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
413,"Mitsubishi Space Star 1,8",2.250 €,2005. | ,204.000 km | ,Benzin | ,"1834 cm3, ","Limuzina, ","88kW (120KS), ","Manuelni 5 brzina, "
414,Mitsubishi Carisma silver line,1.700 €,2003. | ,189.000 km | ,Benzin | ,"1596 cm3, ","Hečbek, ","76kW (103KS), ","Manuelni 5 brzina, "
415,Mitsubishi Pajero did,4.900 €,2002. | ,280.000 km | ,Dizel | ,"3100 cm3, ","Džip/SUV, ","120kW (163KS), ","Manuelni 5 brzina, "
416,Mitsubishi Colt 1.3,1.100 €,2002. | ,220.000 km | ,Benzin | ,"1300 cm3, ","Hečbek, ","60kW (82KS), ","Manuelni 5 brzina, "
417,Mitsubishi Space Star 1.8GDI COMFORT,1.100 €,2001. | ,236.000 km | ,Benzin | ,"1834 cm3, ","Monovolumen (MiniVan), ","90kW (122KS), ","Manuelni 5 brzina, "
418,Mitsubishi Colt 1.3 glx,1.250 €,2001. | ,177.000 km | ,Benzin | ,"1299 cm3, ","Hečbek, ","60kW (82KS), ","Manuelni 5 brzina, "
419,Mitsubishi Outlander 2.4 MIVEC 4WD,4.200 €,2005. | ,176.000 km | ,Benzin + Gas (TNG) | ,"2378 cm3, ","Džip/SUV, ","118kW (160KS), ","Automatski menjač, "
420,Mitsubishi Pajero Pinin ,3.900 €,2001. | ,180.000 km | ,Benzin | ,"1999 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
421,Mitsubishi Pajero 2346,Po dogovoru,1986. | ,295.000 km | ,Dizel | ,"2346 cm3, ","Džip/SUV, ","46kW (62KS), ","Manuelni 6 brzina, "
422,Mitsubishi Carisma 1.9 td,1.150 €,2000. | ,223.000 km | ,Dizel | ,"1870 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
423,Mitsubishi Outlander ,6.500 €,2007. | ,265.000 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
424,Mitsubishi Pajero SPORT GLS,4.900 €,2004. | ,240.000 km | ,Dizel | ,"2498 cm3, ","Džip/SUV, ","88kW (120KS), ","Manuelni 5 brzina, "
425,Mitsubishi Pajero 3.2DiD,Po dogovoru,2000. | ,308.489 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","122kW (166KS), ","Automatski menjač, "
426,Mitsubishi Pajero Pinin GDI,3.390 €,2001. | ,148.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","94kW (128KS), ","Manuelni 5 brzina, "
427,Mitsubishi Carisma ,1.300 €,1998. | ,218.000 km | ,Benzin | ,"1597 cm3, ","Limuzina, ","73kW (99KS), ","Manuelni 5 brzina, "
428,Mitsubishi Colt 1.2,2.350 €,2005. | ,190.000 km | ,Benzin | ,"1124 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
429,Mitsubishi Pajero S P O R T,4.100 €,2001. | ,27.342 km | ,Dizel | ,"2498 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
430,Mitsubishi Outlander ,7.500 €,2009. | ,179.000 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
431,Mitsubishi Space Star 1.9 DID,1.990 €,2001. | ,318.000 km | ,Dizel | ,"1870 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
432,Mitsubishi Space Star 1.8,1.400 €,2002. | ,270.110 km | ,Benzin | ,"1800 cm3, ","Limuzina, ","70kW (95KS), ","Manuelni 5 brzina, "
433,Mitsubishi Pajero 2.5,2.350 €,1987. | ,450.000 km | ,Dizel | ,"2346 cm3, ","Hečbek, ","62kW (84KS), ","Manuelni 5 brzina, "
434,Mitsubishi Pajero 3.2 DI-D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
435,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
436,Mitsubishi Pajero ,4.400 €,2004. | ,190.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
437,Mitsubishi Space Star ,1.990 €,2003. | ,197.000 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Monovolumen (MiniVan), ","67kW (91KS), ","Manuelni 5 brzina, "
438,"Mitsubishi Pajero 3,5Tng",6.500 €,2003. | ,210.050 km | ,Benzin + Gas (TNG) | ,"3455 cm3, ","Džip/SUV, ","155kW (211KS), ","Automatski menjač, "
439,Mitsubishi Colt 1.1 12V Super Jubile,3.690 €,2012. | ,176.000 km | ,Benzin | ,"1124 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
440,Mitsubishi Colt 1.1 12V Super Jubile,3.750 €,2013. | ,174.000 km | ,Benzin | ,"1124 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
441,Mitsubishi Lancer ,900 €,1991. | ,212.538 km | ,Benzin + Gas (TNG) | ,"1460 cm3, ","Limuzina, ","64kW (87KS), ","Manuelni 5 brzina, "
442,Mitsubishi Outlander ,4.500 €,2005. | ,186.000 km | ,Benzin + Gas (TNG) | ,"1995 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
443,Mitsubishi Pajero Pinin ,3.700 €,2002. | ,262.000 km | ,Benzin + Gas (TNG) | ,"1800 cm3, ","Džip/SUV, ","84kW (114KS), ","Manuelni 5 brzina, "
444,Mitsubishi Pajero Sport,7.250 €,2006. | ,203.558 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","86kW (117KS), ","Manuelni 5 brzina, "
445,Mitsubishi Space Star DID,1.700 €,2003. | ,201.842 km | ,Dizel | ,"1998 cm3, ","Monovolumen (MiniVan), ","81kW (110KS), ","Manuelni 5 brzina, "
